Variable Name,Data Type,Unique Values
idno,int64,11636
gincdif,int64,5
nuts2,object,88
wkhtot,float64,99
agea,Int64,66
cntry,Int64,14
eqi21_n2,float64,88
eqi21_n2_lowME,float64,89
eqi21_n2_highME,float64,89
inc_redist,int64,3
resp_ed,float64,7
fath_ed,float64,7
moth_ed,float64,7
educ_mob_father,float64,13
educ_mob_mother,float64,13
educ_mob_avg,float64,24
educ_mob_avg_category,int64,3
EQI,int64,4
domicile,float64,5
unemp_nuts2,Int64,6
equality_importance,Int64,3
social_ties,Int64,6
gen_trust,Int64,4
gov_trust,float64,4
income_decile,Int64,10
gender,Int64,2
union_member,float64,2
child_ever,float64,2
marital_status,float64,4
unemp_ever,float64,2
